Hotel_Description,Hotel_Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude,Hotel_Type
Guest Houses,SUNSET BEACH PARADISE HOTEL,"ROMAN PARK, MUDUKATUWA SOUTH, MARAWILA",9,A,Puttalam,Nattandiya Pradeshiya Sabha,Nattandiya Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,ARUGAMBAY SURFERS VILLA,"MAIN STREET, ARUGAMBAY SOUTH, POTTUVIL 05",30,B,Ampara,Pottuvil,Pottuvil Divisional Secretariat,NULL,NULL,Comfort
Guest Houses,GAMAGE NEST AND REST,"MIRISWATTA,KAMBURUPITIYA.",9,B,Matara,Kamburupitiya Pradeshiya Sabha,Kamburupitiya Divisional Secretariat,NULL,NULL,Budget
Guest Houses,SERENE VILLA,"NO.395, KANDY ROAD,NUWARA-ELIYA.",9,A,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL,Budget
Guest Houses,SERENE GRAND VILLA,"NO 38, RAJAPIHILLA MAWATHA, KANDY.",9,A,Kandy,Kandy,Kandy Divisional Secretariat,80.641494,7.286576,Luxury
Guest Houses,HOTEL ITALIA,"NO 6 HEENELA ROAD,VILEGODA,AMBALANGODA",14,A,Galle,Ambalangoda,Ambalangoda Divisional Secretariat,NULL,NULL,Luxury
Guest Houses,ORIOLE VILLA,"324,WELLATOTA WATHTHA, KANAHINTOTA,BENTOTA",10,A,Galle,Galle,Benthota Divisional Secretariat,80.047826,6.388051,Comfort
Guest Houses,NORFOLK HERITAGE AIRPORT VILLA,"55, LION CITY, 5TH LANE, KATUNAYAKE.",5,B,Gampaha,Seeduwa,Katana Divisional Secretariat,79.876476,7.152263,Comfort
Guest Houses,THE FRANGIPANI TREE,"NO.812, MATARA ROAD, MIHIRIPENNA, THALPE.",9,A,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,NULL,NULL,Budget
Guest Houses,THE SENARO HOLIDAY INN,"POLA PARA, 22 JUNCTION, JAYANTHIPURA, POLONNARUWA.",10,A,Polonnaruwa,Hingurakgoda Pradeshiya Sabha,Hingurakgoda Divisional Secretariat,80.965229,7.985676,Budget
Guest Houses,ELEPHAS RESORT,"NO.47/B AUDANGAWA,KIMBISSA,SIGIRIYA.",16,A,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.734719,7.995286,Luxury
