Name,Address,District,AGA Division,PS/MC/UC,,,,
IDEA HOLIDAYS (PVT) LTD,"NO. 2/12, UDESHI CITY COMPLEX, KIRIBATHGODA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
RED APPLE TRAVEL & HOLIDAYS LANKA (PRIVATE) LIMITED,"NO. 255/2, 1ST FLOOR, KIRULA ROAD, COLOMBO 05",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ESCAPE HOLIDAYS (PVT) LTD,"21 MAITLAND CRESCENT, COLOMBO 07, SRI LANKA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ISLAND LEISURE LANKA (PVT) LTD,"NO.157, MODEL FARM ROAD, COLOMBO 8",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SPARKLINK TRAVELS (PVT) LTD,"""NIHALSONS BUILDING"", NO.39, ST. MICHAELS ROAD, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
COMFORT TRAVELS & TOURS (PVT) LTD,"NO. 159C, PANNIPITIYA ROAD, THALAWATHUGODA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
VILUXUR TOURISM (PVT) LTD,"NO.385, 1ST FLOOR, THE LANDMARK BUILDING, GALLE ROAD, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
DAYA HOLIDAYS (PVT) LTD,"NO.445, COLOMBO ROAD, PEPILIYANA, BORALESGAMUWA",Colombo,Colombo,Colombo Divisional Secretariat,,,,
GLOBAL VILLAGE TRAVELS,"NO.215, MAIN STREET, NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
TRAVEL ARCADE CEYLON (PVT) LTD,"COLOMBO ROAD, GALAHTIIYAWA, MADAMPE",Puttalam,Puttalam Pradeshiya Sabha,Madampe Divisional Secretariat,,,,
DESTINATION SERANDIB (PVT) LTD,"NO. 25C, RAMANADAN AVENUE, DEHIWALA",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
L I C HOLIDAYS,"NO.134-A-1/1, GALLE ROAD DEHIWALA SOUTH",Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,,,,
JOURNEY LANKA HOLIDAYS (PVT) LTD,"NO. 1081/D/2, PANNIPITIYA ROAD, BATTARAMULLA",Colombo,Kaduwela Pradeshiya Sabha,Colombo Divisional Secretariat,,,,
AIRTRAV (PVT) LTD,"NO.163, GALLE ROAD, COLOMBO 3",Colombo,Colombo,Colombo Divisional Secretariat,,,,
ENJOY LANKA TOURS & TRAVELS,"NO.55/3, VINAYALANKARA MAWATHA, COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
DENGELO TOURING (PVT) LTD,"NO.77B, RAGAMA ROAD, KANDANA",Gampaha,Gampaha,Gampaha Divisional Secretariat,,,,
CEYLON SHIPPING LINES LTD,"NO. 450, D.R. WIJEWARDANA MAWATHA, COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
AYUBOWAN TOURS & TRAVELS (PVT) LTD,"NO.15, COLOMBO ROAD, RANOMOTO SHOPPING COMPLEX, NEGAMBO",Gampaha,Negombo,Negombo Divisional Secretariat,,,,
DETROVES TRAVELS (PVT) LTD,"NO.31/1, RIDGEWAY PLACE, COLOMBO 04.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
F & F TRAVELS,"NO476 D/8,FIRST FLOOR ,MARADANA SHOPPING COMPLEX,COLOMBO 10",Colombo,Colombo,Colombo Divisional Secretariat,,,,
U S TRAVELS & TOURS (PVT) LTD,"NO.218, NEW MOOR STREET, COLOMBO 12",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RANDIYA TRAVELS (PVT) LTD,"NO.154/7, PORUTHOTA ROAD, PALAGATURE, KOCHCHIKADE",Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,,,,
AMANATH TOURS & TRAVELS,"NO. 229, 2/9, 2ND FLOOR SANTHOSH PLAZA, MAIN STREET, COLOMBO 11",Colombo,Colombo,Colombo Divisional Secretariat,,,,
EXOTIC GETAWAYS (PVT) LTD,"NO.106 1/1, THIMBIRIGASYAYA ROAD, COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
LOOK ASIA HOLIDAYS LANKA (PVT) LTD,"NO.4,DE ALWIS SQUARE,MOUNT LAVINIA.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
SAFFRON ISLAND (PVT) LTD,"MO. 15, SKELTON ROAD, COLOMBO 5",Colombo,Colombo,Colombo Divisional Secretariat,,,,
RAN TOURS,"NO.333/A, VIHARA MAWATHA, MAHAWEWA",Puttalam,Puttalam Pradeshiya Sabha,Puttalam Divisional Secretariat,,,,
HOLIDAYS BY DESIGN (PVT) LTD,"NO.54,WALUKARAMA ROAD,COLOMBO 03.",Colombo,Colombo,Colombo Divisional Secretariat,,,,
HAPPY LIFE TRAVELS & TOURS,"NO. 22/1, MIHINDU MAWATHA, KURUNEGALA",Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,,,,
